Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,113.019997,113.250000,110.800003,112.260002,112.260002,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,111.699997,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,111.750000,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,110.389999,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,110.510002,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,112.830002,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,113.620003,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,114.500000,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,114.589996,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,115.910004,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,117.570000,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,117.650002,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,117.519997,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,120.220001,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,117.050003,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,117.660004,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,117.910004,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,116.769997,22733400
2019-03-28,117.440002,117.580002,116.129997,116.930000,116.930000,18334800
2019-03-29,118.070000,118.320000,116.959999,117.940002,117.940002,25399800
2019-04-01,118.949997,119.110001,118.099998,119.019997,119.019997,22773900
2019-04-02,119.059998,119.299896,118.519997,119.239998,119.239998,9962243
